product_scope,market_date,institution_total_sv_18,detail_fields,detail_values,detail_sum,difference_sv_18_minus_detail_sum,sv_15_futures_quantity,classification
KOSPI200_CALL_U,20250718,337,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,589|-254|1|0|0|0|0|0,336,1,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250722,-1536,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-864|-674|0|0|0|0|0|0,-1538,2,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250723,-725,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-408|-312|-1|0|0|0|0|0,-721,-4,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250724,-712,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-577|-138|1|0|0|0|0|0,-714,2,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250725,146,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,338|-186|0|0|0|0|0|0,152,-6,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250729,24,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-31|47|-3|0|0|0|0|0,13,11,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250730,-1318,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1302|-58|2|0|0|0|0|0,-1358,40,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250731,2199,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,2867|-675|0|0|0|0|0|0,2192,7,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250801,-1697,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1358|-264|0|0|0|0|0|0,-1622,-75,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250804,-1807,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1398|-371|0|0|0|0|0|0,-1769,-38,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250805,-530,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,25|-200|0|0|0|0|0|0,-175,-355,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250806,-1220,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1034|-196|-2|0|0|0|0|0,-1232,12,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250807,-8,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,405|-340|1|0|0|0|0|0,66,-74,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250808,-1669,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1499|-221|0|0|0|0|0|0,-1720,51,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250811,-19547,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-10787|-8687|0|0|0|0|0|0,-19474,-73,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250812,-12603,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-11833|-331|2|0|0|158|0|0,-12004,-599,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250813,-3961,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-4557|-323|-1|0|0|204|0|0,-4677,716,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250814,-28834,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-25854|-792|50|-677|0|-360|0|0,-27633,-1201,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250818,-1121,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-759|-355|2|0|0|0|0|0,-1112,-9,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250819,1250,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1535|-301|5|0|0|0|0|0,1239,11,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250820,468,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,1039|-543|-1|0|0|0|0|0,495,-27,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250821,-324,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-156|-198|-1|0|0|0|0|0,-355,31,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250825,-190,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,14|-199|-1|0|0|0|0|0,-186,-4,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250826,192,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,369|-135|1|0|0|0|0|0,235,-43,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250827,215,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,564|-333|0|0|0|0|0|0,231,-16,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250828,-426,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-177|-222|0|0|0|0|0|0,-399,-27,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250829,-1227,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-958|-214|40|0|0|0|0|0,-1132,-95,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250901,-428,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-281|-102|7|0|0|0|0|0,-376,-52,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250902,150,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,552|-304|-1|0|0|0|0|0,247,-97,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250903,-875,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-575|-183|1|0|0|0|0|0,-757,-118,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250905,-311,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-280|-123|0|0|0|0|0|0,-403,92,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250908,-26022,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-14500|-11538|0|0|0|0|0|0,-26038,16,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250909,-1629,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1072|-837|-35|0|0|0|0|0,-1944,315,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250910,-1631,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-843|-1033|186|0|0|0|0|0,-1690,59,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250911,-31237,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-29123|-776|0|-690|0|0|0|0,-30589,-648,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250912,-1845,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-1761|-76|0|0|0|0|0|0,-1837,-8,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250915,66,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,72|-4|0|0|0|0|0|0,68,-2,0,OPTION_SPECIFIC_SEMANTICS
KOSPI200_CALL_U,20250916,-854,sv_01|sv_03|sv_04|sv_02|sv_05|sv_06|sv_15|sv_00,-350|-501|0|1|0|0|0|0,-850,-4,0,OPTION_SPECIFIC_SEMANTICS
